seed,mean_return,std_return,n_episodes,train_seconds
1,0.30807529089338714,0.0,1,1705.2
2,0.16714071927146654,0.0,1,1953.5
3,0.18414062900182337,0.0,1,1611.9
4,0.3730482088558693,0.0,1,1661.3
5,0.6203393718507269,0.0,1,1526.8
6,0.9174865434541608,0.0,1,1567.9
7,0.5880432703401249,0.0,1,2217.2
8,-0.046388997019846306,0.0,1,2384.5
9,-0.05156650013986482,0.0,1,2057.3
10,-0.054799420053018674,0.0,1,1748.7
11,0.8944869859301351,0.0,1,1876.9
12,0.36085788614703174,0.0,1,1748.4
13,0.150358182907709,0.0,1,1796.6
14,-0.05410603206590359,0.0,1,1794.4
15,-0.046318962474318694,0.0,1,1437.2
16,0.39985252315942277,0.0,1,1657.8
17,0.40405161662523004,0.0,1,1632.1
18,-0.06190116635517081,0.0,1,1596.6
19,0.16925698265451997,0.0,1,1614.1
20,0.3631628989639516,0.0,1,2045.2
21,0.5876726029770595,0.0,1,1995.1
22,-0.04102411813845916,0.0,1,1935.3
23,-0.09722617803822402,0.0,1,1861.6
24,0.1897809025728149,0.0,1,1330.4
25,0.1849442673853804,0.0,1,1684.0
26,0.16204640131150266,0.0,1,1688.4
27,-0.059807673271864537,0.0,1,1577.5
28,0.6409822103769586,0.0,1,1503.6
29,0.9174865434538799,0.0,1,1717.9
30,0.5859206718427823,0.0,1,1790.8
31,0.3868708958493531,0.0,1,1769.2
32,0.656843302677172,0.0,1,1492.4
33,0.19699017605021335,0.0,1,1553.0
34,0.3651629969036394,0.0,1,1737.3
35,0.6314741023582403,0.0,1,1814.2
36,-0.05232023082347781,0.0,1,1744.6
37,-0.09305649711608506,0.0,1,1586.3
38,-0.08411076142214786,0.0,1,1763.2
39,-0.08241727276584632,0.0,1,1930.3
40,0.9345743246677125,0.0,1,1871.8
41,0.611805749924111,0.0,1,1588.9
42,0.19042533637724657,0.0,1,1931.7
43,0.13813864912501841,0.0,1,1734.2
44,0.6460201207099567,0.0,1,1759.1
45,0.6235173379185106,0.0,1,1714.3
46,0.1391150348651502,0.0,1,1918.7
47,-0.07125731492536641,0.0,1,1805.6
48,0.3733035433963324,0.0,1,1711.7
49,0.37330354339917216,0.0,1,3453.0
50,-0.12160336756649759,0.0,1,4145.2
51,-0.06513347057956766,0.0,1,3315.6
52,0.35364042028862525,0.0,1,3732.5
53,0.3511149732820585,0.0,1,3757.1
54,0.14117594944512252,0.0,1,3194.2
55,-0.04767715616394988,0.0,1,3482.3
56,0.5974009612109832,0.0,1,3936.7
57,0.6568433026813584,0.0,1,3690.5
58,0.14985252314890543,0.0,1,4127.6
59,0.9355482021720021,0.0,1,4121.1
60,-0.059045411636060925,0.0,1,3390.8
61,-0.08323751823593774,0.0,1,3697.4
62,0.16241169416857462,0.0,1,3554.0
63,0.17885909895367752,0.0,1,4154.1
64,0.9345743246648943,0.0,1,3915.5
65,0.5920841267722319,0.0,1,4121.4
66,-0.1410729130375617,0.0,1,4039.9
67,0.2033519703704277,0.0,1,4132.3
68,0.6299926466133904,0.0,1,4133.8
69,-0.0667903355786744,0.0,1,3344.9
70,0.40953633245257426,0.0,1,3856.8
71,-0.06544287739061497,0.0,1,4133.6
72,-0.05232023082984706,0.0,1,4401.6
73,-0.08476859725622816,0.0,1,3382.6
74,-0.09241482744820774,0.0,1,3214.5
75,-0.05034116488546796,0.0,1,3613.0
76,-0.12387627271658135,0.0,1,3710.7
77,0.1583895570844715,0.0,1,3695.0
78,-0.06524975139763751,0.0,1,3537.6
79,0.6078160175696912,0.0,1,3553.6
80,0.36730670432779644,0.0,1,3140.4
81,-0.06577967382369374,0.0,1,4012.9
82,0.2025252554002724,0.0,1,4256.7
83,0.9355482021776179,0.0,1,3689.0
84,0.9459455012034373,0.0,1,3501.9
85,-0.1197684550830394,0.0,1,3429.7
86,0.18972166334977877,0.0,1,4005.5
87,0.37605294994993144,0.0,1,3925.6
88,0.6183108194215573,0.0,1,4045.1
89,-0.041040592020608745,0.0,1,3916.3
90,0.2023228438353659,0.0,1,4004.9
91,0.6290187691086853,0.0,1,3667.2
92,-0.05953273311738257,0.0,1,3629.4
93,-0.10762652638023511,0.0,1,3775.7
94,0.6359513958511678,0.0,1,4116.8
95,0.3829577966029574,0.0,1,3935.0
96,0.15803701939930132,0.0,1,3657.4
97,0.18842911130353562,0.0,1,4161.7
98,0.3998525231585712,0.0,1,3645.7
99,0.37157431342610797,0.0,1,3635.9
100,0.3542754092155695,0.0,1,4009.3
