mode,allowed_zone_size,return,achieved_zone_size,n_segments_closed,wall_seconds
restricted,1,-0.005441172953587259,1,1,4.8
restricted,2,-0.04586208487820049,2,2,8.3
restricted,3,-0.11606719947068697,3,3,10.6
restricted,4,0.07590810917128832,4,4,12.3
restricted,5,0.18146366472684392,5,5,15.7
restricted,6,0.3117105783070908,6,6,18.5
restricted,7,0.42850283424185187,7,7,20.4
restricted,8,0.6081324638714815,8,8,23.5
restricted,9,0.6862726039007935,9,9,24.6
unrestricted,,0.6862726039007935,9,9,24.8
