seed,mean_return,std_return,n_episodes,train_seconds
1,-0.02616037389278942,0.0,1,8324.3
2,-0.02040680220421872,0.0,1,7320.2
3,-0.026126903005275474,0.0,1,8798.5
4,0.863271448668827,0.0,1,6459.4
5,0.018284070551655027,0.0,1,8622.4
