segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
2290,11195,,tertiary,258.15075543881943,0.0,0.0,False,False
2291,11196,,tertiary,36.18850380486519,0.0,0.0,False,False
2292,11197,,tertiary,15.653980777821126,0.0,0.0,False,False
2293,11198,,tertiary,39.63841665121648,0.0,0.0,False,False
2294,11199,,secondary_link,90.30736658500443,0.0,0.0,False,False
2295,11200,,tertiary,57.93301523248738,0.0,0.0,False,False
2296,11201,,tertiary,8.270357772333194,0.0,0.0,False,False
2297,11202,,tertiary,32.96805515429995,0.0,0.0,False,False
2298,11203,,tertiary,16.4865408671837,0.0,0.0,False,False
2299,11204,,tertiary,16.516706655688623,0.0,0.0,False,False
2300,11205,,tertiary,41.409208282841504,0.0,0.0,False,False
2301,11206,,tertiary,33.01616645019777,0.0,0.0,False,False
2302,11207,,tertiary,24.707105616949484,0.0,0.0,False,False
2303,11208,,tertiary_link,7.3303561037987635,0.0,0.0,False,False
2304,11209,,tertiary,48.8999453491138,0.0,0.0,False,False
2305,11210,,tertiary,28.785513759444466,0.0,0.0,False,False
