origin_index,endpoint_key,name,demand_weight,accessibility,reachable
0,,,,0.0,False
1,,,,1.0596324738949918,True
2,,,,1.7064836232860148,True
3,,,,1.5912124385431063,True
4,,,,0.0,False
5,,,,0.0,False
6,,,,0.0,False
7,,,,0.0,False
8,,,,0.0,False
9,,,,0.0,False
10,,,,0.7751989720112747,True
11,,,,0.8963215948781329,True
12,,,,0.9052022260301791,True
13,,,,0.9383809118393045,True
14,,,,0.724217512778945,True
15,,,,0.599739071734509,True
16,,,,0.352993906465685,True
17,,,,0.51659241184476,True
18,,,,0.8439454117685584,True
19,,,,1.0173735854298183,True
20,,,,1.2680458123209852,True
21,,,,1.4594662988047882,True
22,,,,1.2229545997487445,True
23,,,,0.825604819584455,True
24,,,,0.738486234613507,True
25,,,,0.9101525947222547,True
26,,,,0.7790053714773264,True
27,,,,0.656115499756935,True
28,,,,0.2793703235143394,True
29,,,,0.2839432715609275,True
30,,,,0.25439499647094216,True
31,,,,0.24004051409821947,True
32,,,,0.22708183370283272,True
33,,,,0.2089202278531187,True
34,,,,1.1018260732158474,True
35,,,,0.2896024588362117,True
36,,,,0.2650018305966784,True
37,,,,0.21095458172369874,True
38,,,,0.4731202533420214,True
39,,,,0.47539904216733175,True
40,,,,0.1100659048379806,True
41,,,,0.4433874209950224,True
42,,,,0.5529292085352165,True
43,,,,0.5397350256956784,True
44,,,,0.2808119728178503,True
45,,,,0.6763866687200774,True
46,,,,0.6827958425923693,True
47,,,,0.6821661499714518,True
48,,,,1.469586576167529,True
49,,,,0.09288649341448957,True
50,,,,0.10496778338734492,True
51,,,,0.1096347955196431,True
52,,,,0.0,False
53,,,,0.12056083302731267,True
54,,,,0.26986478245835854,True
55,,,,0.48666411516373825,True
56,,,,0.3039205103552418,True
57,,,,0.491415318881589,True
58,,,,0.4531847553818918,True
59,,,,0.4346206662329107,True
60,,,,0.3016347394970673,True
61,,,,0.7722761713803682,True
62,,,,0.2885111855866364,True
63,,,,0.29144260687122686,True
64,,,,0.14062598475299204,True
65,,,,0.0,False
66,,,,0.6921724919500142,True
67,,,,1.585297234255119,True
68,,,,1.0965528167232281,True
69,,,,0.976326370012501,True
70,,,,1.0396693481924628,True
71,,,,1.1143405773948873,True
72,,,,3.27434586743342,True
73,,,,1.5601241084331,True
74,,,,0.7280697731653715,True
75,,,,0.4467825025289027,True
76,,,,0.1675178396905094,True
77,,,,0.0,False
78,,,,0.0,False
79,,,,0.0,False
80,,,,0.0,False
81,,,,0.0,False
82,,,,0.0,False
83,,,,0.5214089795802391,True
84,,,,0.9897960154822537,True
85,,,,0.7355140245607125,True
86,,,,2.448528610106449,True
87,,,,1.8462569481016295,True
88,,,,0.22133349293463217,True
89,,,,1.6971442118097253,True
90,,,,1.2133865144408986,True
