segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
8231,8231,طريق الملك فهد,motorway,53.26935410312813,0.0,0.0,False,True
8232,8232,طريق الملك فهد,motorway,31.60753329470541,0.0,0.0,False,True
8233,8233,طريق الملك فهد,motorway,364.8708798966079,0.0,0.0,False,True
8234,8234,طريق الملك فهد,motorway,139.24439664952388,0.0,0.0,False,True
8235,8235,طريق الملك فهد,motorway,88.49001154774572,0.0,0.0,False,True
8236,8236,طريق الملك فهد,motorway,100.30600719432057,0.0,0.0,False,True
8237,8237,طريق الملك فهد,motorway,25.743307783072876,0.0,0.0,False,True
8238,8238,طريق الملك فهد,motorway,117.88743184930907,0.0,0.0,False,True
8239,8239,طريق الملك فهد,motorway,368.36184619447863,0.0,0.0,False,True
8240,8240,,secondary,64.73479730938229,0.0,0.0,False,True
8241,8241,,secondary,34.30849111900132,0.0,0.0,False,True
8242,8242,,secondary,146.77873831675586,0.0,0.0,False,True
8243,8243,,secondary,67.11706646027504,0.0,0.0,False,True
8244,8244,,secondary,14.08767714220104,0.0,0.0,False,True
8245,8245,,secondary,13.767744529469196,0.0,0.0,False,True
8246,8246,,secondary,57.246392759388044,0.0,0.0,False,True
8247,8247,,secondary,66.00340784906953,0.0,0.0,False,True
8248,8248,,secondary,72.94492473630778,0.0,0.0,False,True
8249,8249,,secondary,45.51081405720827,0.0,0.0,False,True
8250,8250,,secondary,142.26842192729998,0.0,0.0,False,True
8251,8251,,secondary,18.63291093790724,0.08783145144074687,0.0016365556122425612,False,True
8252,8252,,secondary,9.539568838122081,0.08783145144074687,0.0008378741771711817,False,True
8253,8253,,motorway_link,12.385761019005006,0.0,0.0,False,False
8254,8254,,motorway_link,45.4870671837812,0.0,0.0,False,False
8255,8255,,motorway_link,49.25930266153087,0.0,0.0,False,False
8256,8256,,motorway_link,28.119895939858566,0.0,0.0,False,False
8257,8257,,motorway_link,13.876174935884983,0.0,0.0,False,False
8258,8258,,motorway_link,86.18321292040696,0.0,0.0,False,False
8259,8259,,motorway_link,76.34536644605078,0.0,0.0,False,False
8260,8260,,motorway_link,270.28587925697514,0.0,0.0,False,False
8261,8261,,motorway_link,421.46586398241953,0.0,0.0,False,False
8262,8262,,motorway_link,140.79666037778725,0.0,0.0,False,False
8263,8263,,motorway_link,232.26286605103235,0.0,0.0,False,False
8264,8264,,motorway_link,200.08137433658206,0.0,0.0,False,False
8265,8265,,motorway_link,147.80098521064062,0.0,0.0,False,False
8266,8266,,secondary,26.455217388977893,0.0,0.0,False,True
8267,8267,,secondary,2.7850901105025003,0.0,0.0,False,True
8268,8268,,unclassified,15.537248753128125,0.0,0.0,True,False
8269,8269,,unclassified,111.40110793043405,0.0,0.0,True,False
8270,8270,,unclassified,74.01919023652933,0.0,0.0,True,False
8271,8271,,unclassified,24.12301365887919,0.0,0.0,True,False
8272,8272,,unclassified,62.38549798030377,0.0,0.0,True,False
8273,8273,,unclassified,31.078777559885502,0.0,0.0,True,False
8274,8274,,unclassified,55.910125569999465,0.0,0.0,True,False
8275,8275,,unclassified,13.99478806238584,0.0,0.0,True,False
8276,8276,,unclassified,102.58360395125723,0.0,0.0,True,False
8277,8277,,unclassified,22.74837728532426,0.0,0.0,True,False
8278,8278,,unclassified,90.75139669832015,0.0,0.0,True,False
8279,8279,,unclassified,24.21262258368827,0.0,0.0,True,False
8280,8280,,unclassified,14.99399041547186,0.0,0.0,True,False
8281,8281,,unclassified,26.4592378965878,0.0,0.0,True,False
8282,8282,,unclassified,39.90963961428828,0.0,0.0,True,False
8283,8283,,unclassified,26.244413065002306,0.0,0.0,True,False
8284,8284,,unclassified,64.58957411684386,0.0,0.0,True,False
8285,8285,,unclassified,55.59685932224035,0.0,0.0,True,False
8286,8286,,unclassified,138.16678475722313,0.0,0.0,True,False
8287,8287,,unclassified,39.740462153342406,0.0,0.0,True,False
8288,8288,,unclassified,151.9360453343921,0.0,0.0,True,False
8289,8289,,unclassified,38.0442175854863,0.0,0.0,True,False
8290,8290,,unclassified,86.30352834343122,0.0,0.0,True,False
8291,8291,,unclassified,40.258907201952304,0.0,0.0,True,False
8292,8292,,unclassified,101.17349894911243,0.0,0.0,True,False
8293,8293,,unclassified,78.50183076087805,0.0,0.0,True,False
8294,8294,,unclassified,65.47478607479887,0.0,0.0,True,False
8295,8295,,unclassified,72.83105932231254,0.0,0.0,True,False
8296,8296,,unclassified,83.44143971267945,0.0,0.0,True,False
8297,8297,,unclassified,58.83500617801397,0.0,0.0,True,False
8298,8298,,unclassified,92.28702117530611,0.0,0.0,True,False
8299,8299,,unclassified,20.541083760362582,0.0,0.0,True,False
