scenario,demand_scope,execution_method,origins,mean_access,access_gini,flow_weighted_vkt_proxy_km,mean_trip_distance,total_flow,major_road_flow_share,protected_local_flow_share,unreachable_fraction,simulation_seconds
combined_peak_1_5,khamis_to_jabal_soudah_viewpoint,exact_linear_derivation,2,0.20941583176544168,0.044591462180934904,32.82098565797764,52247.53581008814,141.65137658453122,0.8582596651758223,0.0,0.0,0.0
combined_peak_2_0,khamis_to_jabal_soudah_viewpoint,exact_linear_derivation,2,0.20941583176544168,0.044591462180934904,43.76131421063684,52247.53581008814,188.86850211270826,0.8582596651758224,0.0,0.0,0.0
current_full_belt,city_accessibility,madina_simulation,740,1.0802614123476164,0.4799008996650178,143.2071212278416,795.5788119629947,2255.496728829834,0.017302790987652257,0.7848602311157409,0.09594594594594595,5.00605639629066
khamis_viewpoint_baseline,khamis_to_jabal_soudah_viewpoint,exact_linear_derivation,2,0.20941583176544168,0.044591462180934904,21.88065710531842,52247.53581008814,94.43425105635413,0.8582596651758224,0.0,0.0,0.0
route10_reference,khamis_to_jabal_soudah_viewpoint,madina_simulation,1,0.19073951548092624,0.0,10.554229222329083,55228.21916805159,55.88667803591138,0.7849829351535881,0.0,0.0,1.4519708110019565
route2120_reference,khamis_to_jabal_soudah_viewpoint,madina_simulation,1,0.22809214804995712,0.0,11.32642788298934,49266.852452124695,38.54757302044275,0.9644970414201184,0.0,0.0,0.8263731244951487
