scenario,segments,mean_access,access_gini,vkt_proxy_km,total_flow,mean_trip_dist_m,n_components,unreachable_fraction,random_mean_return,random_std,highest_flow_mean_return,highest_flow_std,lowest_flow_mean_return,lowest_flow_std,zone_builder_mean_return,zone_builder_std,greedy_mean_return,greedy_std,zone_builder_best_mean_return,zone_builder_best_std,mean_access_delta_vs_s0,mean_access_pct_vs_s0,vkt_proxy_km_delta_vs_s0,vkt_proxy_km_pct_vs_s0,total_flow_delta_vs_s0,total_flow_pct_vs_s0,mean_trip_dist_m_delta_vs_s0,mean_trip_dist_m_pct_vs_s0
S0,4586,1.3013132673934966,0.35155285482019605,2232.8005967591935,22232.471639640193,774.905287156689,1,0.0,-0.05,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1A,4570,1.3025891706630686,0.3503477054879569,2231.2187981001252,22257.021039143227,774.8933611220227,1,0.0,,,,,,,,,,,,,0.001275903269571943,0.09804735735366402,-1.5817986590682267,-0.07084370459969126,24.549399503033783,0.11042136880211978,-0.01192603466631681,-0.0015390312679471132
S1B,4573,1.3008445234355408,0.3519850325266518,2232.80075410688,22232.483619351147,774.9144919709149,1,0.0,,,,,,,,,,,,,-0.00046874395795581947,-0.03602083907856437,0.00015734768658148823,7.0470998086381334e-06,0.011979710954619804,5.38838467840892e-05,0.009204814225881819,0.0011878631335264806
S2,4602,1.292055350139809,0.3554380008716729,2216.735267182302,22092.450794817392,775.0642343435652,1,0.0,,,,,,,,,,,,,-0.00925791725368752,-0.7114287916414573,-16.0653295768916,-0.7195147475421532,-140.02084482280043,-0.629803321431636,0.15894718687616205,0.02051182118777082
