seed,mean_return,std_return,n_episodes,train_seconds
1,-0.07780697406449244,0.0,1,2109.4
2,-0.0993110312649269,0.0,1,1922.9
3,-0.05409608748276632,0.0,1,2050.7
4,-0.06988809236785609,0.0,1,1822.3
5,-0.06544962550556331,0.0,1,2011.1
