seed,mean_return,std_return,n_episodes,train_seconds
1,0.6251123342100676,0.0,1,1721.7
2,0.1658337655784612,0.0,1,1776.0
3,0.3480363102993098,0.0,1,1678.7
4,0.6385799783189813,0.0,1,1594.8
5,0.3557436081012664,0.0,1,1799.8
6,0.904715317736355,0.0,1,1415.9
7,0.12919180426079369,0.0,1,1657.8
8,0.1595198914107231,0.0,1,1692.9
9,0.3808279781132131,0.0,1,1666.1
10,-0.06353745460036561,0.0,1,1514.4
11,0.9328176686733127,0.0,1,1598.9
12,0.3602792700826915,0.0,1,1590.3
13,0.1558686870824133,0.0,1,1667.6
14,-0.05829489761591881,0.0,1,1578.5
15,-0.07188800200813222,0.0,1,1512.2
16,0.3305702313595838,0.0,1,1677.6
17,0.3838348436140951,0.0,1,1531.0
18,0.3848379461591858,0.0,1,1593.9
19,0.17352948910863866,0.0,1,1656.3
20,-0.08889980670550979,0.0,1,1735.1
21,0.15627521100849764,0.0,1,1592.1
22,-0.05046123800082447,0.0,1,1632.4
23,0.15494880512294304,0.0,1,1453.8
24,0.16931609683107324,0.0,1,1360.9
25,0.3301795148707376,0.0,1,1655.5
26,0.1641772755493361,0.0,1,1472.5
27,0.19287450022776462,0.0,1,1545.5
28,0.5966442069414108,0.0,1,1535.7
29,0.9047153177376507,0.0,1,1597.7
30,0.6121245722493776,0.0,1,1665.3
31,0.6351383814151466,0.0,1,1682.9
32,0.6351383814129854,0.0,1,1694.9
33,0.37594614636846946,0.0,1,1639.3
34,0.17638082397993504,0.0,1,1673.3
35,0.9328176686784017,0.0,1,1727.3
36,-0.04234605626516059,0.0,1,1757.9
37,-0.09145966506367668,0.0,1,1520.6
38,0.36805211457728004,0.0,1,1653.6
39,-0.08520281107006981,0.0,1,1527.3
40,0.6471322735752941,0.0,1,1722.7
41,0.5980738383428578,0.0,1,1386.0
42,-0.05057440452869462,0.0,1,1578.4
43,0.16036400487484742,0.0,1,1507.9
44,0.3633986108140582,0.0,1,1621.5
45,0.6133200088159462,0.0,1,1703.9
46,0.0015910413771214327,0.0,1,1618.9
47,-0.12706464726123623,0.0,1,1634.3
48,0.3602782100195336,0.0,1,1459.7
49,-0.055896279769042684,0.0,1,1568.2
50,-0.10890818142494044,0.0,1,1610.8
51,-0.07170922334326486,0.0,1,1466.4
52,-0.06365587699226315,0.0,1,1640.6
53,0.34537077881289296,0.0,1,1705.7
54,-0.07957524761939751,0.0,1,1424.6
55,-0.06869892927645152,0.0,1,1627.8
56,0.6033904101801629,0.0,1,1646.3
57,0.9435108664205013,0.0,1,1617.0
58,0.1269229549470856,0.0,1,1575.1
59,0.9328176686762562,0.0,1,1868.6
60,0.2016832889840198,0.0,1,1618.8
61,-0.10359780999021014,0.0,1,1495.4
62,0.4103145241187858,0.0,1,1495.2
63,-0.04374369777101428,0.0,1,1656.5
64,0.9204486662469921,0.0,1,1511.4
65,0.5943328815933564,0.0,1,1695.4
66,-0.11547435659638006,0.0,1,1630.0
67,0.3885799783190715,0.0,1,1576.1
68,0.1918661926489841,0.0,1,1623.3
69,-0.05295153582384492,0.0,1,1396.6
70,-0.08708517727461229,0.0,1,1707.3
71,-0.06658382216795512,0.0,1,1482.4
72,-0.05678047814803838,0.0,1,1590.5
73,0.18983424721297398,0.0,1,1491.6
74,-0.04664759330790437,0.0,1,1419.9
75,-0.046968343693464476,0.0,1,1447.4
76,-0.134803238995268,0.0,1,1497.5
77,-0.09035918716100728,0.0,1,1395.9
78,-0.06327814822225666,0.0,1,1336.8
79,0.9159405906804982,0.0,1,1452.9
80,0.1932006022411477,0.0,1,1216.3
81,0.3748200932802641,0.0,1,1850.6
82,0.384837946166344,0.0,1,1695.7
83,0.9328176686809921,0.0,1,1635.5
84,0.641764168099488,0.0,1,1360.1
85,-0.0806532722991986,0.0,1,1450.2
86,0.18638353366907986,0.0,1,1517.5
87,0.6391602387451915,0.0,1,1332.9
88,0.6059291846610042,0.0,1,1486.3
89,-0.06627455321134004,0.0,1,1420.2
90,0.6562561492750426,0.0,1,1401.3
91,0.9204486662450406,0.0,1,1673.4
92,-0.07814885430233529,0.0,1,1452.3
93,0.16679711008432216,0.0,1,1504.6
94,0.9328176686811264,0.0,1,1602.8
95,0.6351383814198004,0.0,1,1418.6
96,0.16585207682101016,0.0,1,1263.8
97,0.17062629442529112,0.0,1,1541.8
98,0.179212442035321,0.0,1,1464.2
99,0.368523059361382,0.0,1,1386.4
100,0.6286085393361752,0.0,1,1670.1
